 Created on  8Aug2024 at 19:16:26 
    0.224305    0.782801   -0.580439
   -0.398126   -0.564870    0.722785
    0.596374    0.041258   -0.801646
   -0.423835   -0.676988   -0.601707
   -0.209740    0.961416    0.178010
   -0.358507   -0.501666    0.787276
    0.843624    0.159066   -0.512832
   -0.162059   -0.505877   -0.847246
   -0.062927    0.067222    0.995752
   -0.526621   -0.849083    0.041581
   -0.040967    0.999144   -0.005693
   -0.282416   -0.959190    0.013953
    0.586168    0.395558    0.707065
    0.002236   -0.791566    0.611080
    0.699130    0.051977   -0.713102
   -0.390190   -0.328342   -0.860200
   -0.908782   -0.386988   -0.156064
    0.314696    0.437011    0.842608
    0.765159    0.485082    0.423352
    0.442661    0.225101    0.867975
   -0.696014    0.632743   -0.339412
   -0.910213   -0.163323    0.380575
    0.167776   -0.289505    0.942358
    0.650329   -0.550108    0.523882
    0.213336    0.059373   -0.975173
    0.099796    0.888805   -0.447288
    0.969747   -0.244109    0.001246
    0.280253   -0.249290    0.926991
    0.334659    0.404875    0.850928
   -0.712387    0.652170    0.259191
   -0.640113    0.288262   -0.712152
    0.411417   -0.797792   -0.440754
   -0.015404    0.793220   -0.608741
   -0.240095   -0.545456    0.803014
    0.302646   -0.726467   -0.616969
   -0.727674    0.222399    0.648867
    0.409273    0.912248    0.017282
    0.142865   -0.622204    0.769709
   -0.860598    0.320446   -0.395834
    0.373987   -0.858547   -0.350757
   -0.551462    0.579296    0.600255
    0.083165    0.271525    0.958831
    0.585628    0.804800   -0.096631
    0.024624   -0.702398   -0.711358
    0.846176    0.469989   -0.251191
   -0.530989   -0.843031    0.085731
   -0.313985    0.906286   -0.282948
   -0.328868   -0.432700   -0.839414
   -0.698234   -0.230181   -0.677854
    0.204780   -0.922662    0.326740
    0.360763    0.917782    0.165910
   -0.475486   -0.860984   -0.180610
   -0.007295    0.449365   -0.893318
   -0.911045    0.152698   -0.382989
    0.959132   -0.266452   -0.095229
    0.863243   -0.354611    0.359253
   -0.200001    0.970556    0.134239
   -0.990023   -0.122981   -0.068773
    0.489265   -0.071920    0.869165
   -0.338802   -0.909783   -0.239810
   -0.428732    0.887535   -0.168733
    0.642187    0.740302   -0.198870
    0.364107    0.892452   -0.266374
   -0.883446   -0.096791    0.458426
    0.871944    0.453520    0.184482
   -0.559190   -0.379021    0.737326
   -0.076735    0.676762   -0.732192
   -0.834474   -0.439260   -0.332723
    0.606086    0.084806   -0.790865
    0.915047   -0.314415    0.252649
    0.666491    0.630245   -0.398221
   -0.866638   -0.487762   -0.105004
   -0.293324    0.941612    0.165314
   -0.492617    0.075507    0.866964
    0.091195    0.933217   -0.347548
   -0.212001   -0.951701    0.222082
    0.492290   -0.352519   -0.795852
    0.772223   -0.119234    0.624064
   -0.558013    0.427215   -0.711414
   -0.669847   -0.134669    0.730184
   -0.317274    0.914977    0.249309
   -0.504240   -0.852019   -0.140731
    0.514745    0.213141   -0.830426
   -0.319937   -0.906901   -0.274173
   -0.151152    0.825589   -0.543650
   -0.234477   -0.934993   -0.266100
   -0.534233    0.333738   -0.776668
    0.330171    0.175634   -0.927437
    0.315398    0.772396   -0.551297
   -0.541201   -0.768621    0.341060
   -0.689625    0.694055   -0.206651
   -0.316475   -0.339371    0.885816
    0.858209    0.466857   -0.213359
   -0.861223    0.281840   -0.422920
    0.564275   -0.207033    0.799207
   -0.073514   -0.835302    0.544855
   -0.469552    0.882259    0.033753
   -0.988620   -0.125383   -0.083126
    0.206884    0.554777    0.805867
    0.220988   -0.587586    0.778400
    0.477031    0.476293   -0.738638
   -0.545803    0.387590    0.742881
    0.826133   -0.310857   -0.469970
   -0.330224   -0.468443    0.819459
    0.312500    0.870746   -0.379665
   -0.190001    0.419664   -0.887571
    0.865071   -0.281008   -0.415557
    0.025583   -0.151704    0.988095
    0.096260    0.762009   -0.640372
   -0.910084    0.224280    0.348489
    0.733337    0.433997   -0.523320
   -0.341508   -0.899043    0.274035
   -0.706302    0.484807    0.515849
    0.061831   -0.852829    0.518516
   -0.168835    0.642559   -0.747404
    0.803120   -0.233416   -0.548193
    0.105997    0.944151    0.312000
   -0.593730   -0.689163    0.415379
    0.010692    0.360618   -0.932652
   -0.073950   -0.937258   -0.340704
   -0.568561    0.614031   -0.547452
    0.075398   -0.921087    0.381987
    0.254823    0.946307    0.198919
    0.642797   -0.297282   -0.706000
