 Created on  6Dec2024 at 17:07:29 
    0.605854   -0.478913   -0.635282
   -0.623892   -0.000820   -0.781510
    0.113294   -0.329279   -0.937411
   -0.222503   -0.309191    0.924604
   -0.575331   -0.342649    0.742689
    0.068345    0.668955    0.740154
    0.324912    0.138525    0.935544
    0.001007   -0.202530    0.979276
   -0.675523    0.121394    0.727277
    0.447584    0.271303   -0.852094
    0.179086    0.047369   -0.982692
   -0.073286   -0.070424   -0.994821
    0.153190    0.379932    0.912241
    0.191902   -0.649757   -0.735520
    0.489355   -0.053472   -0.870444
    0.322411    0.426094    0.845278
   -0.166682   -0.154085    0.973897
    0.185566   -0.610527   -0.769949
   -0.110762    0.350495   -0.929992
    0.071268   -0.355203    0.932068
    0.321652   -0.130476    0.937825
    0.640328   -0.212871   -0.738015
   -0.003838   -0.122271    0.992489
    0.469770   -0.344839    0.812651
   -0.019147   -0.001625    0.999815
    0.325705   -0.206243   -0.922703
   -0.051484    0.228788   -0.972114
    0.164418   -0.013329   -0.986301
    0.357372   -0.184918    0.915473
   -0.121717   -0.099020   -0.987613
    0.583116   -0.677956   -0.447606
   -0.105975    0.204422    0.973130
    0.274175   -0.225506    0.934866
    0.061605    0.365579   -0.928739
    0.273759   -0.011434   -0.961730
    0.225420    0.429780    0.874343
   -0.391697    0.297682    0.870608
    0.089599   -0.191051   -0.977482
   -0.032461    0.472555   -0.880703
   -0.446294   -0.332556    0.830800
   -0.126923   -0.191864    0.973180
   -0.262078   -0.061268    0.963100
   -0.223541   -0.877172    0.424969
    0.053749   -0.190778    0.980161
   -0.461740   -0.032894    0.886405
   -0.026024    0.055166   -0.998138
   -0.102267    0.199402   -0.974567
    0.225364    0.417495   -0.880289
   -0.175393   -0.056548    0.982873
    0.230606   -0.608121   -0.759612
   -0.039781    0.123849   -0.991503
    0.007957    0.066007    0.997787
    0.230482    0.029745    0.972622
   -0.435027    0.185966   -0.881004
   -0.007041   -0.147332   -0.989062
   -0.049859   -0.010568    0.998700
    0.235211   -0.062481   -0.969934
    0.167484    0.425782   -0.889190
    0.087528   -0.003703   -0.996155
   -0.216534    0.007992    0.976242
    0.249000   -0.211951    0.945027
   -0.095285   -0.149567    0.984150
   -0.393860    0.178538    0.901665
   -0.126455   -0.276028    0.952795
   -0.202680    0.336706   -0.919538
   -0.293123   -0.717137   -0.632292
   -0.267722   -0.388049    0.881897
   -0.472274   -0.218525   -0.853935
   -0.264171    0.453286   -0.851320
   -0.055174   -0.087911    0.994599
   -0.330628    0.572274   -0.750458
   -0.424940   -0.444210   -0.788736
   -0.103862    0.131766    0.985825
    0.331206   -0.248474    0.910255
    0.352810   -0.130990    0.926481
   -0.194092    0.184185    0.963537
    0.360729   -0.047905   -0.931440
    0.170828   -0.373663   -0.911698
    0.222577    0.289902   -0.930815
   -0.025771    0.050679   -0.998382
    0.004954   -0.302790   -0.953044
   -0.041251    0.070877    0.996632
   -0.404109    0.412619    0.816359
   -0.173965   -0.145832    0.973894
   -0.339740   -0.069513   -0.937947
    0.036802   -0.358650    0.932746
   -0.307231    0.215115    0.927003
    0.465891   -0.274247   -0.841269
    0.224764   -0.126257    0.966199
    0.126239    0.597100    0.792171
    0.085002    0.382381    0.920087
    0.444205   -0.403206   -0.800067
    0.112336    0.543151   -0.832086
    0.279781    0.204985   -0.937925
   -0.193457   -0.288322   -0.937787
    0.142890   -0.287107   -0.947181
    0.144690    0.076519   -0.986514
   -0.080076   -0.183269    0.979796
    0.059828    0.047017   -0.997101
    0.165176    0.087284    0.982394
   -0.057709   -0.152427   -0.986629
   -0.140217    0.010693   -0.990063
   -0.034218   -0.366931    0.929619
    0.056913    0.236933   -0.969858
   -0.085542    0.074434   -0.993550
   -0.197570    0.267198    0.943171
   -0.030138    0.048679   -0.998360
   -0.170743    0.227665   -0.958653
   -0.670258   -0.147235    0.727376
    0.212151    0.412109    0.886091
    0.611213   -0.444157    0.655091
    0.218854   -0.522084    0.824337
   -0.074651   -0.346759   -0.934979
    0.119951    0.193797   -0.973681
   -0.102729   -0.544403   -0.832509
   -0.041899    0.093701   -0.994718
    0.647034    0.320588    0.691788
    0.188163   -0.199796    0.961601
    0.238593   -0.428338    0.871550
    0.200403   -0.205278    0.957966
    0.261145    0.008799   -0.965260
   -0.149331    0.239183    0.959423
   -0.607672   -0.244080    0.755751
    0.142991    0.102371   -0.984415
   -0.080261    0.415343    0.906117
   -0.026766   -0.450569    0.892340
   -0.001492    0.275119    0.961409
    0.329136   -0.128897   -0.935444
   -0.244725    0.005555   -0.969577
    0.518988   -0.126408   -0.845383
    0.470335   -0.029151   -0.882006
    0.471033   -0.288408   -0.833636
    0.431298    0.429864   -0.793221
    0.230335    0.072415    0.970413
    0.080643    0.094427   -0.992260
    0.511625   -0.809497    0.288020
   -0.436400   -0.482909   -0.759180
   -0.692069   -0.558395    0.457423
    0.043788    0.840269    0.540399
    0.257007   -0.023428    0.966126
    0.060547    0.067838   -0.995858
   -0.304666   -0.131939    0.943277
   -0.170680    0.114005   -0.978709
    0.135171    0.242285   -0.960743
    0.034035   -0.228917    0.972851
   -0.296610    0.115057    0.948043
   -0.006163    0.368508    0.929604
    0.031703   -0.170093    0.984918
    0.017128   -0.105505   -0.994271
    0.032771    0.174979   -0.984027
   -0.270563   -0.297847   -0.915469
   -0.249288   -0.034784   -0.967804
    0.334715   -0.226043    0.914806
    0.169653   -0.201171    0.964753
    0.071788   -0.261575    0.962510
    0.060112    0.615986    0.785460
   -0.263030    0.176693   -0.948470
    0.027194    0.385836   -0.922166
   -0.479369    0.119815    0.869396
    0.272878    0.246327   -0.929979
   -0.139320    0.276822    0.950768
    0.102190   -0.231837    0.967372
   -0.105472   -0.257097    0.960613
    0.519487   -0.054190   -0.852758
    0.382520   -0.136742   -0.913773
    0.332772    0.314265   -0.889101
   -0.429363    0.512342   -0.743742
   -0.067338   -0.307936   -0.949021
   -0.029425    0.164199   -0.985988
   -0.290276    0.177843    0.940272
    0.263919   -0.121062   -0.956917
    0.180672   -0.071770    0.980921
   -0.458689    0.489711   -0.741476
   -0.361157   -0.547961    0.754522
    0.037355    0.336927    0.940789
    0.023150   -0.503613    0.863619
   -0.383786    0.527620   -0.757842
    0.021868    0.523289    0.851875
    0.281533   -0.254884    0.925080
   -0.041719   -0.778772   -0.625919
   -0.050641    0.573666    0.817523
    0.216470   -0.339529    0.915347
   -0.126767    0.456513    0.880640
   -0.103251    0.322765    0.940831
    0.108658   -0.141965   -0.983890
   -0.366825   -0.430495   -0.824690
   -0.131996    0.707949   -0.693819
    0.132276   -0.338514   -0.931618
    0.148681   -0.603985    0.783004
    0.217294    0.151725    0.964242
    0.226569    0.055476    0.972414
    0.195045   -0.077414    0.977734
    0.094624    0.022466   -0.995260
    0.186428   -0.053679   -0.981001
   -0.054486    0.034937    0.997903
    0.123575    0.387888   -0.913385
   -0.258327    0.349828   -0.900493
   -0.218143    0.240446    0.945833
    0.185967   -0.367157   -0.911379
   -0.145354   -0.007063   -0.989354
   -0.032204   -0.030728   -0.999009
    0.165481   -0.311640   -0.935680
   -0.206221    0.119652   -0.971162
    0.222899    0.005756   -0.974824
   -0.367467    0.215270   -0.904780
    0.147268    0.258735    0.954656
    0.219807   -0.182471   -0.958326
    0.566112    0.114308    0.816365
   -0.077570    0.172520   -0.981947
   -0.047258   -0.077438    0.995877
    0.559281   -0.209473    0.802076
   -0.075016    0.639193    0.765379
   -0.357529   -0.143500   -0.922811
   -0.048517   -0.242231    0.969005
   -0.731036   -0.350374    0.585512
    0.023939   -0.315439   -0.948644
    0.243928   -0.266723    0.932394
    0.071305   -0.384070    0.920547
   -0.664818    0.230398    0.710587
    0.649362   -0.061953   -0.757951
    0.196432   -0.679530   -0.706862
    0.003447    0.163009   -0.986619
   -0.235600   -0.595911   -0.767713
    0.536211    0.176454   -0.825435
    0.099665    0.034395    0.994426
    0.094812   -0.383846    0.918517
    0.537496    0.302095    0.787297
    0.448538    0.883521    0.134925
    0.203535    0.351627   -0.913746
   -0.262223   -0.332679   -0.905850
    0.332931   -0.456010    0.825355
    0.807896   -0.143342   -0.571627
   -0.104168    0.329115   -0.938527
    0.027249   -0.203396    0.978717
   -0.057626    0.125758   -0.990386
   -0.134631   -0.036089   -0.990238
   -0.076607    0.140683    0.987086
    0.263491   -0.086577    0.960769
    0.253394   -0.648130    0.718136
    0.228599    0.401356    0.886936
    0.146550   -0.548411   -0.823267
    0.089232   -0.108759    0.990055
    0.179288   -0.526234   -0.831224
   -0.170674   -0.045004    0.984299
   -0.059857    0.475984   -0.877415
   -0.733813   -0.438884    0.518555
    0.235385   -0.102120    0.966522
   -0.180656   -0.239097    0.954042
    0.051102   -0.306042   -0.950646
    0.082715    0.410580    0.908065
    0.111707   -0.222137    0.968595
    0.480039   -0.281623   -0.830814
