 Created on  5Nov2024 at 15:15:29 
   -0.328469   -0.284267    0.900722
    0.268812    0.059760   -0.961337
   -0.145437   -0.158945   -0.976517
   -0.171227   -0.060729    0.983358
    0.016165    0.778349    0.627624
    0.348180   -0.641518   -0.683539
   -0.108133    0.412034   -0.904730
    0.161429   -0.240477    0.957137
    0.062339    0.097287    0.993302
   -0.256123    0.643278   -0.721522
    0.108840    0.524074   -0.844690
    0.556983    0.149984    0.816869
    0.343523   -0.222394    0.912433
    0.189954    0.412585   -0.890894
   -0.384153    0.085191   -0.919331
   -0.698421   -0.318954    0.640684
    0.387355    0.082685    0.918215
    0.363186   -0.417314   -0.833034
    0.414601    0.074186   -0.906974
   -0.552898   -0.209623    0.806451
   -0.048029   -0.258418    0.964838
    0.259883   -0.620627   -0.739785
    0.206943   -0.104926   -0.972710
   -0.102998   -0.263364    0.959182
    0.011670    0.420400    0.907264
   -0.036464    0.349827   -0.936104
    0.581434    0.150690   -0.799516
   -0.039595    0.030530    0.998749
   -0.242469    0.259036    0.934938
   -0.630819   -0.768232   -0.109029
   -0.167784    0.116260   -0.978944
   -0.165641   -0.789938    0.590390
   -0.704387    0.222456    0.674057
    0.342951   -0.366058   -0.865093
    0.000540    0.352188   -0.935929
   -0.353819   -0.211393    0.911112
    0.089948    0.318200    0.943747
   -0.100414   -0.036909   -0.994261
    0.857133    0.055143   -0.512134
    0.255560    0.584898    0.769794
   -0.311879   -0.174257    0.934005
    0.510150    0.105113   -0.853638
    0.223798   -0.049294   -0.973388
   -0.026701   -0.895654    0.443950
    0.215594    0.663433    0.716502
    0.274720   -0.260981   -0.925428
    0.077763    0.210933   -0.974402
   -0.088614   -0.391187    0.916035
   -0.680435   -0.045109    0.731419
    0.270356   -0.573488   -0.773317
    0.075437   -0.120202   -0.989879
   -0.534674    0.051378    0.843495
   -0.040317   -0.801045    0.597245
    0.190234    0.232900   -0.953713
    0.722835   -0.570426   -0.390032
   -0.473750   -0.275487    0.836461
    0.097230   -0.754050    0.649581
    0.214091    0.689407   -0.692014
    0.459164    0.229015   -0.858325
   -0.176537   -0.402732    0.898132
   -0.463970    0.059183    0.883872
    0.516558    0.237071   -0.822779
   -0.153439    0.539351   -0.827984
    0.160244   -0.345148    0.924767
   -0.679512   -0.733660   -0.002544
    0.314842   -0.188199   -0.930299
    0.668094   -0.107513   -0.736268
   -0.513320   -0.408070    0.754971
   -0.426040   -0.201782    0.881915
   -0.210320   -0.045380   -0.976579
    0.391269   -0.212530   -0.895399
   -0.699821   -0.582457    0.413514
    0.065981    0.181606    0.981155
   -0.114784   -0.254748   -0.960171
   -0.113803    0.826057   -0.551977
   -0.209157    0.300833    0.930459
   -0.333920    0.364523    0.869265
    0.032643    0.978644   -0.202953
   -0.254084    0.406505   -0.877608
   -0.387504   -0.264937    0.882978
   -0.090973   -0.732637    0.674513
   -0.548104    0.251584   -0.797677
    0.100372   -0.015769   -0.994825
   -0.114623   -0.112137    0.987060
    0.683673    0.072911    0.726137
    0.601608   -0.022058   -0.798487
    0.349678    0.182782   -0.918867
