 Created on  1Aug2024 at 19:52:59 
   -0.894597    0.114207   -0.432033
    0.145645    0.277798   -0.949535
   -0.209211   -0.493030    0.844483
    0.488863   -0.118484    0.864277
    0.244052    0.222971   -0.943781
   -0.612719    0.066571   -0.787492
    0.511803   -0.236384    0.825942
   -0.074881    0.220260    0.972563
   -0.322148   -0.493910   -0.807635
   -0.366307    0.351766   -0.861441
    0.280434   -0.537804    0.795062
   -0.242341   -0.228205    0.942970
   -0.430203    0.452141   -0.781341
   -0.324057    0.240696   -0.914906
    0.462823    0.046916    0.885209
    0.246983   -0.291244    0.924216
    0.363927    0.511019   -0.778727
   -0.055323    0.091319   -0.994284
   -0.124729    0.227914    0.965659
   -0.009988    0.843594   -0.536888
    0.940605   -0.121412    0.317052
   -0.612571   -0.260227    0.746351
   -0.756612    0.141742   -0.638316
   -0.186042    0.518617   -0.834520
    0.325038   -0.113561    0.938858
    0.319976   -0.831053    0.454935
   -0.388453    0.423521   -0.818373
   -0.276748    0.377120   -0.883850
   -0.763025    0.082265    0.641113
   -0.082543   -0.521653    0.849155
   -0.108193   -0.594319   -0.796918
   -0.015065    0.315352   -0.948855
    0.103187   -0.151061    0.983124
   -0.018376   -0.719418    0.694334
    0.293062    0.524206   -0.799576
    0.036794    0.939295   -0.341131
   -0.065695   -0.418611    0.905786
    0.026292   -0.024263    0.999360
    0.224121    0.313692   -0.922696
    0.385860   -0.394682    0.833870
    0.044397    0.262372   -0.963945
   -0.367598    0.927377   -0.069602
   -0.186375   -0.571122    0.799427
    0.178645    0.351720    0.918901
   -0.089947    0.378637   -0.921164
    0.082629    0.100921   -0.991457
    0.186096   -0.790633    0.583324
   -0.522927    0.107825    0.845530
   -0.130436    0.033325   -0.990897
    0.101978    0.887087   -0.450196
   -0.434816   -0.168962    0.884526
   -0.516280   -0.166188    0.840141
    0.083771    0.413045   -0.906849
   -0.206941   -0.506638   -0.836955
    0.656896    0.320939    0.682265
    0.365080   -0.577791    0.729982
    0.284653    0.474201   -0.833131
   -0.311344   -0.476656   -0.822110
   -0.280072   -0.184596    0.942064
    0.129718    0.004110   -0.991542
    0.093217   -0.257948    0.961652
   -0.209546   -0.791977    0.573466
   -0.155776    0.716352   -0.680128
   -0.505205    0.159655   -0.848103
   -0.191025    0.347726    0.917930
    0.249864   -0.669516    0.699512
    0.448943    0.203604   -0.870055
    0.239395   -0.281729   -0.929149
    0.542315   -0.248873    0.802469
    0.488380    0.251678    0.835550
